url,time,level,Date,Location,Result,name,parent,Belligerents.allies,Belligerents.axis,Commanders and leaders.allies,Commanders and leaders.axis,Strength.allies,Strength.axis,Casualties and losses.allies,Casualties and losses.axis,Territorialchanges,Commanders and leaders.total,Casualties and losses.total,Status
https://en.wikipedia.org/wiki/Saar_Offensive,September 1939,0,7–16 September 1939 (1939-09-07 – 1939-09-16),"Saarland, GermanyCoordinates: 49°10′N 7°15′E﻿ / ﻿49.167°N 7.250°E﻿ / 49.167; 7.250",French withdrawal,French offensive into Germany,Western Front,France,Germany,Maurice Gamelin   A.G. Prétalat,Erwin von Witzleben,"40 divisions 400 tanks 4,700 artillery pieces",22 divisions 100 artillery pieces,"2,000 casualties [1] 4 tanks destroyed",196 killed 356 wounded 114 missing [2] 11 aircraft destroyed [3],,,,
https://en.wikipedia.org/wiki/German_invasion_of_Denmark_(1940),,1,9 April 1940,Denmark,German victory,German Invasion of Denmark,Operation Weserübung,Denmark,Germany,Christian X   William Wain Prior [1],Leonhard Kaupisch [2],"14,500 soldiers (Zealand, Jutland divisions, &  Bornholm  garrison) [3] 4 air force squadrons 2 coastal defence ships 6 torpedo boats 7 submarines 3 minelayers 9 minesweepers 4 inspection ships",Höheres Kommando XXXI : [4] 170th Infantry Division 198th Infantry Division 11th Schützen Brigade 527 aircraft (of the  X. Fliegerkorps ) [5],26 killed [6] 23 wounded [6] (includes casualties of the civil air defence) 12 aircraft destroyed 14 aircraft damaged,20 killed & wounded [7] [6] 2 captured 12 armoured cars destroyed or damaged 4 tanks damaged 1 aircraft damaged [7] 1 tugboat sunk [8],Occupation of Denmark,,,
https://en.wikipedia.org/wiki/Battles_of_Narvik,,2,9 April 1940,"Narvik, Norway",German victory,Battles of Narvik,German invasion of Norway,Norway,Germany,Per Askim   Odd Isaachsen Willoch   †,Friedrich Bonte     Eduard Dietl,2 coastal defence ships,10 destroyers,2 coastal defence ships sunk 343 dead,One cargo ship scuttled (no fatalities),,,,
https://en.wikipedia.org/wiki/Battle_of_Dr%C3%B8bak_Sound,,2,9 April 1940,"Drøbak Sound, Oslofjord, Norway","Norwegian victory 

German invasion force delayed
Evacuation of the Norwegian Parliament, Royal Family, and gold reserve",Battle of Drøbak Sound,German invasion of Norway,Norway,Germany,Birger Eriksen   ( POW ),Oskar Kummetz   ( POW ) August Thiele,"Oscarsborg Fortress : 
 Main Battery: 3 × 28 cm   coastal guns 4 × anti-aircraft machine guns [1] Kopås Battery: 3 × 15 cm coastal guns 
 Husvik Battery: 2 × 57 mm mine barrier protection guns 
 Torpedo Battery: 3 × double [2]  land based  underwater  launch tunnels for 45 cm torpedoes [3] 
3 × single [4] [5] [6]  land based  underwater  launch tunnels for 45 cm torpedoes [3] 
 Seiersten Battery: 2 ×  Bofors 40 mm L/60 anti-aircraft guns 3 ×  Colt M/29  7,92 mm anti-aircraft machine guns 
 Håøya Battery: 4 × Colt M/29 7,92 mm anti-aircraft machine guns 
 Nesset Battery: 4 × 57 mm  Cockerill  L/60 guns 
 
 Infantry support: One company of the  Norwegian Royal Guards Total crew: 45 officers 293 NCOs and men, 69 officers and men of the Norwegian Royal Guards [7]",2  heavy cruisers 1  light cruiser 1  torpedo boat 2  minesweepers,"No casualties, although most buildings above ground at the Main Battery were burnt to the ground. [8]","1 heavy cruiser sunk 1 heavy cruiser damaged 650–800 dead [9] 50 wounded [7] 1,000 temporarily taken prisoner",,,,
https://en.wikipedia.org/wiki/Battle_of_Midtskogen,,2,10 April 1940,"Elverum, Østerdalen, Norway60°52′36″N 11°28′05″E﻿ / ﻿60.87667°N 11.46806°E﻿ / 60.87667; 11.46806Coordinates: 60°52′36″N 11°28′05″E﻿ / ﻿60.87667°N 11.46806°E﻿ / 60.87667; 11.46806",Norwegian victory,Battle of Midtskogen,German invasion of Norway,Norway,Germany,Olaf Helset   Oliver Møystad,Eberhard Spiller   †,100+ soldiers & militia 2 machine guns ( Colt M/29 ),100+ paratroopers,3 wounded,5 killed unknown number wounded,,,,
https://en.wikipedia.org/wiki/Battle_of_Domb%C3%A5s,,2,14–19 April 1940,"Dombås area in Dovre, Gudbrandsdal, Norway","Norwegian tactical victory

German Fallschirmjäger company blocks the north-south and west-east rail and road systems for five days before surrendering",Battle of Dombås,German invasion of Norway,Norway,Germany,14–17 April: Ivar Navelsaker [1] 17–19 April: Arne Sunde [2],Herbert Schmidt   ( POW ) [3],"14–17 April: •2nd Battalion, Infantry Regiment 11 [3] •No. 1 Company of Infantry Regiment 5 [4] 17–19 April: •1st Battalion, Infantry Regiment 11 •No. 1 Company of Infantry Regiment 5 •Machine gun platoon from  NoAAS  Jagevingen •40 mm anti-aircraft gun [5] 19 April: • Rail mounted   howitzer  manned by  Royal Marines [2]","•4 officers and 181 men of the 1st Company, 1st Regiment of the 7th  Flieger  Division [6]",20 dead 20 wounded [7],"During the drop: 15 dead, 20 wounded and 14 injured. 7  Junkers Ju 52s  shot down, an eighth Ju 52 landed in Sweden and sank through a frozen lake. During the fighting: 6  killed 6  wounded ca. 150 captured",,,,
https://en.wikipedia.org/wiki/%C3%85ndalsnes_landings,,2,19 April – early May 1940,"Åndalsnes, Romsdal, Norway",German victory,Åndalsnes landings,German invasion of Norway,United Kingdom   Norway,Nazi Germany,,,"British 148th Infantry Brigade  ~1,500 Men","Unknown (Had heavy and light artillery Support), 3 Pz I or II, 1 Pz IV  [1]","~1,190 Casualties",Light,,Bernard Paget       Harold Morgan [1],,
https://en.wikipedia.org/wiki/Battle_of_Mill,,1,10–11 May 1940,"Mill, the Netherlands",German victory,Battle of Mill,Battle of the Netherlands,Netherlands,Germany,A. A. van Nijnatten,Gerhard Kauffmann   Friedrich Weber,"2,000 20 field guns 3 anti-tank guns 47 casemates","30,000 15 mortars 2 field guns 3 anti-tank guns 1 armoured train 1 troop train 37 light bombers",30 killed 50 wounded,500+ killed & wounded 1 armoured train derailed 1 troop train destroyed,,,,
https://en.wikipedia.org/wiki/Battle_for_The_Hague,,1,10 May 1940,"The Hague, NetherlandsCoordinates: 52°5′N 4°19′E﻿ / ﻿52.083°N 4.317°E﻿ / 52.083; 4.317","Decisive Dutch victory

Failure of the Fallschirmjager to hold initial gains
Successful Dutch counter-attacks lead to the failure of the German objective of capturing The Hauge",Battle for The Hague,Battle of the Netherlands,Netherlands,Nazi Germany,Henri Winkelman,Hans von Sponeck,"11,100 2 armoured car squadrons 4 bombers 1 destroyer","3,000  Fallschirmjäger",515 killed [1],"134–400 killed 700 wounded 1,745 captured 125 aircraft destroyed 47 aircraft damaged [2]",,,,
https://en.wikipedia.org/wiki/Battle_of_Rotterdam,,1,10–14 May 1940,"Rotterdam, Netherlands, and the surrounding area51°55′51″N 4°28′45″E﻿ / ﻿51.93083°N 4.47917°E﻿ / 51.93083; 4.47917Coordinates: 51°55′51″N 4°28′45″E﻿ / ﻿51.93083°N 4.47917°E﻿ / 51.93083; 4.47917",German victory,Battle of Rotterdam,Battle of the Netherlands,"Netherlands 
 
   United Kingdom [1]",Germany,"Col.  P. W. Scharroo 
 
   Major Clifford Brazier",Gen.  Kurt Student,"7,000 soldiers 12 artillery pieces 6 anti-tank guns 2 armoured cars 1 gunboat 1 motor torpedo boat 1 demolition team UK","1,000 soldiers 12 float planes",185 killed [2] 1 armoured car damaged 3 aircraft destroyed 1 motor torpedo boat damaged,123 killed [2] [3] 5 aircraft destroyed,,,,
